fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
5.0,QCOM,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p030_s125,mean_reversion,2.354831722233518,16.0,0.3,1.25,0.0051841269322001615,4.313205900827227e-05,0.0002901017940907069,2.36020674110765,-0.0007841908513399609,0.1,0.021500075496528052,0.02770216402762277,0.13333333333333333,2.5800090595833662,True
,TXN,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,MSFT,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
6.0,NVDA,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s200,mean_reversion,1.7232482950528187,40.0,0.4,2.0,0.008703068878519904,7.183340618564148e-05,0.0006602093429606775,1.7272096854153358,-0.0026153266327162417,0.2066115702479339,0.01584556145006849,0.10213510297198557,0.3305785123966942,1.9173129354582872,True
6.0,AVGO,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s175,mean_reversion,3.7125620027027018,24.0,0.35,1.75,0.005240763825159256,4.321683176780979e-05,0.00018465866735373573,3.715211128131022,-0.000608313486978429,0.1487603305785124,0.010596501713280531,0.029822666240258085,0.19834710743801653,1.2821767073069443,True
6.0,AMD,XLK,XLK,mr_p035_s125,mean_reversion,2.2610507400132245,11.0,0.35,1.25,0.005122756373771908,4.227320120458783e-05,0.0002965800745702322,2.262681557525537,-0.0008158778788944776,0.06611570247933884,0.006523270049250579,0.01203538613441457,0.09090909090909091,0.7893156759593201,True
6.0,ADBE,XLK,XLK,mr_p040_s150,mean_reversion,1.517204565404945,12.0,0.4,1.5,0.003044837135286249,2.5160326310903353e-05,0.0002630585360627272,1.5183228946734222,-0.0015645344277488427,0.06611570247933884,0.0044733170739083075,0.01095274372866037,0.09917355371900827,0.5412713659429053,True
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
6.0,CSCO,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,0.9987772381619043,39.0,0.4,1.25,0.002782276166868103,2.302823811858996e-05,0.00036470880512282945,1.0023392416848422,-0.001962394301875281,0.21487603305785125,0.014248014091751533,0.04509863923545806,0.32231404958677684,1.7240097051019356,False
